Day and Hour,Distribution of the number of trips
2022-1-15 16,1
2022-1-15 17,1
2022-1-15 19,1
2022-1-17 13,1
2022-1-17 14,2
2022-1-2 00,1773
2022-1-2 01,1441
2022-1-2 02,989
2022-1-2 03,682
2022-1-2 04,490
2022-1-2 05,336
2022-1-2 06,325
2022-1-2 07,580
2022-1-2 08,874
2022-1-2 09,1231
2022-1-2 10,1829
2022-1-2 11,2609
2022-1-2 12,3179
2022-1-2 13,3791
2022-1-2 14,3995
2022-1-2 15,4411
2022-1-2 16,4586
2022-1-2 17,4471
2022-1-2 18,4372
2022-1-2 19,4024
2022-1-2 20,3676
2022-1-2 21,3037
2022-1-2 22,2543
2022-1-2 23,2263
2022-1-22 01,3
2022-1-24 22,1
2022-1-25 14,1
2022-1-3 00,1639
2022-1-3 01,1111
2022-1-3 02,646
2022-1-3 03,365
2022-1-3 04,266
2022-1-3 05,238
2022-1-3 06,460
2022-1-3 07,1258
2022-1-3 08,2546
2022-1-3 09,3404
2022-1-3 10,3691
2022-1-3 11,4022
2022-1-3 12,4169
2022-1-3 13,4416
2022-1-3 14,4762
2022-1-3 15,5306
2022-1-3 16,5671
2022-1-3 17,5557
2022-1-3 18,5179
2022-1-3 19,4841
2022-1-3 20,3738
2022-1-3 21,2938
2022-1-3 22,2584
2022-1-3 23,2211
2022-1-4 00,1578
2022-1-4 01,939
2022-1-4 02,473
2022-1-4 03,251
2022-1-4 04,197
2022-1-4 05,181
2022-1-4 06,422
2022-1-4 07,1370
2022-1-4 08,2860
2022-1-4 09,3905
2022-1-4 10,4049
2022-1-4 11,4188
2022-1-4 12,4338
2022-1-4 13,4534
2022-1-4 14,4540
2022-1-4 15,5096
2022-1-4 16,5568
2022-1-4 17,5316
2022-1-4 18,5395
2022-1-4 19,5243
2022-1-4 20,3886
2022-1-4 21,3118
2022-1-4 22,2816
2022-1-4 23,2563
2022-1-5 00,1805
2022-1-5 01,1081
2022-1-5 02,471
2022-1-5 03,296
2022-1-5 04,160
2022-1-5 05,197
2022-1-5 06,481
2022-1-5 07,1308
2022-1-5 08,2937
2022-1-5 09,3902
2022-1-5 10,4260
2022-1-5 11,4553
2022-1-5 12,4620
2022-1-5 13,4345
2022-1-5 14,4454
2022-1-5 15,4995
2022-1-5 16,5229
2022-1-5 17,4987
2022-1-5 18,5095
2022-1-5 19,4973
2022-1-5 20,4090
2022-1-5 21,3215
2022-1-5 22,2935
2022-1-5 23,2614
2022-1-6 00,1740
2022-1-6 01,1183
2022-1-6 02,574
2022-1-6 03,319
2022-1-6 04,225
2022-1-6 05,196
2022-1-6 06,451
2022-1-6 07,1256
2022-1-6 08,2629
2022-1-6 09,3760
2022-1-6 10,4007
2022-1-6 11,4267
2022-1-6 12,4414
2022-1-6 13,4707
2022-1-6 14,4969
2022-1-6 15,5479
2022-1-6 16,5837
2022-1-6 17,5517
2022-1-6 18,5753
2022-1-6 19,5631
2022-1-6 20,4645
2022-1-6 21,3550
2022-1-6 22,3402
2022-1-6 23,3335
2022-1-7 00,2151
2022-1-7 01,1429
2022-1-7 02,749
2022-1-7 03,390
2022-1-7 04,215
2022-1-7 05,157
2022-1-7 06,236
2022-1-7 07,562
2022-1-7 08,1396
2022-1-7 09,2273
2022-1-7 10,2749
2022-1-7 11,3028
2022-1-7 12,3370
2022-1-7 13,3737
2022-1-7 14,4019
2022-1-7 15,4654
2022-1-7 16,5107
2022-1-7 17,5108
2022-1-7 18,5279
2022-1-7 19,5534
2022-1-7 20,5056
2022-1-7 21,3896
2022-1-7 22,3535
2022-1-7 23,3846
2022-1-8 00,3307
2022-1-8 01,2879
2022-1-8 02,2251
2022-1-8 03,1724
2022-1-8 04,1064
2022-1-8 05,546
2022-1-8 06,338
2022-1-8 07,626
2022-1-8 08,1139
2022-1-8 09,1592
2022-1-8 10,2524
2022-1-8 11,3530
2022-1-8 12,4227
2022-1-8 13,4719
2022-1-8 14,5070
2022-1-8 15,5180
2022-1-8 16,5356
2022-1-8 17,5986
2022-1-8 18,5806
2022-1-8 19,5495
2022-1-8 20,5189
2022-1-8 21,4024
2022-1-8 22,3956
2022-1-8 23,4240
2022-1-9 00,3914
2022-1-9 01,3380
2022-1-9 02,2813
2022-1-9 03,2114
2022-1-9 04,1399
2022-1-9 05,757
2022-1-9 06,379
2022-1-9 07,561
2022-1-9 08,843
2022-1-9 09,1205
2022-1-9 10,1869
2022-1-9 11,2898
2022-1-9 12,3435
2022-1-9 13,3936
2022-1-9 14,4059
2022-1-9 15,4572
2022-1-9 16,4474
2022-1-9 17,4608
2022-1-9 18,4301
2022-1-9 19,3728
2022-1-9 20,3264
2022-1-9 21,2635
2022-1-9 22,2221
2022-1-9 23,1814
2022-2-1 00,21
2022-2-1 01,1107
2022-2-1 02,533
2022-2-1 03,307
2022-2-1 04,219
2022-2-1 05,172
2022-2-1 06,498
2022-2-1 07,1755
2022-2-1 08,3300
2022-2-1 09,4509
2022-2-1 10,4771
2022-2-1 11,4828
2022-2-1 12,4530
2022-2-1 13,4844
2022-2-1 14,5111
2022-2-1 15,5559
2022-2-1 16,5939
2022-2-1 17,5694
2022-2-1 18,6509
2022-2-1 19,7212
2022-2-1 20,6222
2022-2-1 21,4630
2022-2-1 22,4554
2022-2-1 23,3868
2022-2-10 00,3570
2022-2-10 01,1779
2022-2-10 02,907
2022-2-10 03,511
2022-2-10 04,281
2022-2-10 05,284
2022-2-10 06,537
2022-2-10 07,1869
2022-2-10 08,3981
2022-2-10 09,5059
2022-2-10 10,5049
2022-2-10 11,5050
2022-2-10 12,5386
2022-2-10 13,5855
2022-2-10 14,6253
2022-2-10 15,6723
2022-2-10 16,7031
2022-2-10 17,6842
2022-2-10 18,7792
2022-2-10 19,8559
2022-2-10 20,7201
2022-2-10 21,6291
2022-2-10 22,6051
2022-2-10 23,5591
2022-2-11 00,4502
2022-2-11 01,3071
2022-2-11 02,1788
2022-2-11 03,1052
2022-2-11 04,632
2022-2-11 05,469
2022-2-11 06,656
2022-2-11 07,1661
2022-2-11 08,3546
2022-2-11 09,4343
2022-2-11 10,4601
2022-2-11 11,4886
